       x:             u(x):          v(x):        log10(RelativeError):   
  0.00099900100   0.0091938892  5.8885730E-18     -1.5490212
   0.0019980020    0.018190162    -0.99990920     -1.6411454
   0.0029970030    0.027064397     -1.9998638     -1.6946433
   0.0039960040    0.035825854     -2.9998184     -1.7336653
   0.0049950050    0.044479634     -3.9997730     -1.7649189
   0.0059940060    0.053029176     -4.9997276     -1.7912601
   0.0069930070    0.061477075     -5.9996822     -1.8141847
   0.0079920080    0.069825448     -6.9996368     -1.8345799
   0.0089910090    0.078076104     -7.9995914     -1.8530182
   0.0099900100    0.086230647     -8.9995460     -1.8698918
    0.010989011    0.094290531     -9.9995006     -1.8854823
    0.011988012     0.10225710     -10.999455     -1.8999990
    0.012987013     0.11013163     -11.999410     -1.9136021
    0.013986014     0.11791530     -12.999364     -1.9264171
    0.014985015     0.12560925     -13.999319     -1.9385444
    0.015984016     0.13321459     -14.999274     -1.9500657
    0.016983017     0.14073237     -15.999228     -1.9610482
    0.017982018     0.14816361     -16.999183     -1.9715483
    0.018981019     0.15550932     -17.999137     -1.9816135
    0.019980020     0.16277046     -18.999092     -1.9912844
    0.020979021     0.16994798     -19.999047     -2.0005957
    0.021978022     0.17704282     -20.999001     -2.0095778
    0.022977023     0.18405586     -21.998956     -2.0182571
    0.023976024     0.19098802     -22.998910     -2.0266569
    0.024975025     0.19784016     -23.998865     -2.0347977
    0.025974026     0.20461315     -24.998820     -2.0426977
    0.026973027     0.21130783     -25.998774     -2.0503732
    0.027972028     0.21792503     -26.998729     -2.0578390
    0.028971029     0.22446557     -27.998683     -2.0651081
    0.029970030     0.23093027     -28.998638     -2.0721926
    0.030969031     0.23731991     -29.998593     -2.0791032
    0.031968032     0.24363529     -30.998547     -2.0858497
    0.032967033     0.24987718     -31.998502     -2.0924413
    0.033966034     0.25604635     -32.998456     -2.0988861
    0.034965035     0.26214354     -33.998411     -2.1051917
    0.035964036     0.26816950     -34.998366     -2.1113651
    0.036963037     0.27412498     -35.998320     -2.1174128
    0.037962038     0.28001069     -36.998275     -2.1233407
    0.038961039     0.28582736     -37.998229     -2.1291544
    0.039960040     0.29157569     -38.998184     -2.1348589
    0.040959041     0.29725639     -39.998139     -2.1404591
    0.041958042     0.30287014     -40.998093     -2.1459595
    0.042957043     0.30841764     -41.998048     -2.1513642
    0.043956044     0.31389956     -42.998002     -2.1566771
    0.044955045     0.31931656     -43.997957     -2.1619019
    0.045954046     0.32466932     -44.997912     -2.1670421
    0.046953047     0.32995848     -45.997866     -2.1721008
    0.047952048     0.33518469     -46.997821     -2.1770811
    0.048951049     0.34034860     -47.997775     -2.1819859
    0.049950050     0.34545082     -48.997730     -2.1868178
    0.050949051     0.35049200     -49.997685     -2.1915795
    0.051948052     0.35547274     -50.997639     -2.1962734
    0.052947053     0.36039366     -51.997594     -2.2009017
    0.053946054     0.36525537     -52.997548     -2.2054667
    0.054945055     0.37005847     -53.997503     -2.2099704
    0.055944056     0.37480354     -54.997458     -2.2144147
    0.056943057     0.37949118     -55.997412     -2.2188015
    0.057942058     0.38412196     -56.997367     -2.2231327
    0.058941059     0.38869646     -57.997321     -2.2274099
    0.059940060     0.39321524     -58.997276     -2.2316347
    0.060939061     0.39767887     -59.997231     -2.2358086
    0.061938062     0.40208790     -60.997185     -2.2399332
    0.062937063     0.40644289     -61.997140     -2.2440099
    0.063936064     0.41074438     -62.997094     -2.2480399
    0.064935065     0.41499290     -63.997049     -2.2520246
    0.065934066     0.41918899     -64.997004     -2.2559652
    0.066933067     0.42333318     -65.996958     -2.2598629
    0.067932068     0.42742598     -66.996913     -2.2637188
    0.068931069     0.43146793     -67.996867     -2.2675341
    0.069930070     0.43545951     -68.996822     -2.2713097
    0.070929071     0.43940126     -69.996777     -2.2750468
    0.071928072     0.44329365     -70.996731     -2.2787461
    0.072927073     0.44713719     -71.996686     -2.2824088
    0.073926074     0.45093237     -72.996640     -2.2860356
    0.074925075     0.45467968     -73.996595     -2.2896275
    0.075924076     0.45837959     -74.996550     -2.2931852
    0.076923077     0.46203258     -75.996504     -2.2967096
    0.077922078     0.46563912     -76.996459     -2.3002015
    0.078921079     0.46919968     -77.996413     -2.3036615
    0.079920080     0.47271472     -78.996368     -2.3070905
    0.080919081     0.47618469     -79.996323     -2.3104892
    0.081918082     0.47961005     -80.996277     -2.3138581
    0.082917083     0.48299124     -81.996232     -2.3171980
    0.083916084     0.48632870     -82.996186     -2.3205094
    0.084915085     0.48962288     -83.996141     -2.3237931
    0.085914086     0.49287420     -84.996096     -2.3270495
    0.086913087     0.49608310     -85.996050     -2.3302793
    0.087912088     0.49925000     -86.996005     -2.3334830
    0.088911089     0.50237532     -87.995959     -2.3366611
    0.089910090     0.50545948     -88.995914     -2.3398143
    0.090909091     0.50850289     -89.995869     -2.3429429
    0.091908092     0.51150596     -90.995823     -2.3460475
    0.092907093     0.51446908     -91.995778     -2.3491285
    0.093906094     0.51739267     -92.995732     -2.3521865
    0.094905095     0.52027711     -93.995687     -2.3552218
    0.095904096     0.52312279     -94.995642     -2.3582349
    0.096903097     0.52593012     -95.995596     -2.3612263
    0.097902098     0.52869946     -96.995551     -2.3641963
    0.098901099     0.53143120     -97.995505     -2.3671453
    0.099900100     0.53412571     -98.995460     -2.3700738
     0.10089910     0.53678337     -99.995415     -2.3729821
     0.10189810     0.53940454     -100.99537     -2.3758706
     0.10289710     0.54198959     -101.99532     -2.3787397
     0.10389610     0.54453888     -102.99528     -2.3815896
